ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
1019637158,Cobalt Ltz 2014/2015 cinza 1.8,59.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 54.900,"Fortaleza, Guararapes - DDD 85","Hoje, 20:51",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/cobalt-ltz-2014-2015-cinza-1-8-1019637158,2022-05-04,,ce,2015
1028206749,Hilux srv 4x4 automática 2010/10,120.000 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 120.000,"Fortaleza, Bela Vista - DDD 85","Hoje, 20:51",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hilux-srv-4x4-automatica-2010-10-1028206749,2022-05-04,,ce,2010
1023585696,FIAT/ STRADA 1.4 CS - 2014/2014,70.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 44.900,"Fortaleza, Jardim das Oliveiras - DDD 85","Hoje, 20:51",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-1-4-cs-2014-2014-1023585696,2022-05-04,,ce,2014
1016858859,Corolla Cross 2.0 XRE Turbo 2022 0KM,0 km  |  Câmbio: Automático  |  Flex  |  ,R$ 176.900,"Fortaleza, Jardim das Oliveiras - DDD 85","Hoje, 20:50",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/corolla-cross-2-0-xre-turbo-2022-0km-1016858859,2022-05-04,,ce,2022
1011487140,Grand Vitara 2.0 2012 4x4 Automática,155.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 56.900,"Fortaleza, Jardim das Oliveiras - DDD 85","Hoje, 20:50",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/grand-vitara-2-0-2012-4x4-automatica-1011487140,2022-05-04,,ce,2012
1028206473,FORD Ranger XLT 3.2 2015 extra todas revisoes na autorizada,109.000 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 149.990,"Fortaleza, Guajeru - DDD 85","Hoje, 20:50",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ranger-xlt-3-2-2015-extra-todas-revisoes-na-autorizada-1028206473,2022-05-04,,ce,2015
1016830457,Peugeot 208 Griffe 1.6 AT 2013/2014,29.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 47.990,"Fortaleza, Salinas - DDD 85","Hoje, 20:50",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/peugeot-208-griffe-1-6-at-2013-2014-1016830457,2022-05-04,,ce,2014
1028183648,Etios x 1.3 ,53.245 km  |  Câmbio: Automático  |  Flex  |  ,R$ 64.990,"Fortaleza, Vicente Pinzon - DDD 85","Hoje, 20:49",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/etios-x-1-3-1028183648,2022-05-04,,ce,2019
988262350,New Beetle 2008/2008 2.0 Mi 8V Gasolina 2P Automatico,55.000 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 45.000,"Fortaleza, Salinas - DDD 85","Hoje, 20:49",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/new-beetle-2008-2008-2-0-mi-8v-gasolina-2p-automatico-988262350,2022-05-04,,ce,2008
1026851302,Chery Arrizo 6 Pro 1.5 Vvt Turbo Iflex,3.500 km  |  Câmbio: Automático  |  Flex  |  ,R$ 129.990,"Fortaleza, Aldeota - DDD 85","Hoje, 20:49",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chery-arrizo-6-pro-1-5-vvt-turbo-iflex-1026851302,2022-05-04,,ce,2022
1012636988,COROLLA 2009/2010 1.8 XEI 16V FLEX 4P MANUAL,100.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 47.900,"Fortaleza, Salinas - DDD 85","Hoje, 20:49",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/corolla-2009-2010-1-8-xei-16v-flex-4p-manual-1012636988,2022-05-04,,ce,2010
985782769,VIRTUS 2021/2022 1.6 MSI TOTAL FLEX MANUAL,0 km  |  Câmbio: Automático  |  Flex  |  ,R$ 96.900,"Fortaleza, Salinas - DDD 85","Hoje, 20:49",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/virtus-2021-2022-1-6-msi-total-flex-manual-985782769,2022-05-04,,ce,2022
1017043309,Renault Kwid Zen 1.0 Flex 2020,35.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 50.000,"Crato, São Miguel - DDD 88","Hoje, 20:49",https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/autos-e-pecas/carros-vans-e-utilitarios/renault-kwid-zen-1-0-flex-2020-1017043309,2022-05-04,,ce,2020
1021838962,"CELTA LT 2012 COM AR CONDICIONADO DIREÇÃO PREÇO 219900,00",61.300 km  |  Câmbio: Manual  |  Flex  |  ,R$ 21.900,"Fortaleza, Presidente Kennedy - DDD 85","Hoje, 20:49",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/celta-lt-2012-com-ar-condicionado-direcao-preco-219900-00-1021838962,2022-05-04,,ce,2012
