ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
1010697341,Jeep Renegade Sport At,12.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 98.000,"Brasília, Asa Norte - DDD 61","Hoje, 21:22",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-sport-at-1010697341,2022-05-04,,df,2020
993391129,FORD KA 1.5 SE PLUS Aut 2020,36.825 km  |  Câmbio: Automático  |  Flex  |  ,R$ 66.900,"Brasília, Zona Industrial (Guará) - DDD 61","Hoje, 21:22",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-1-5-se-plus-aut-2020-993391129,2022-05-04,,df,2020
1028217506,Vendo kombi 1989,420.000 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 5.300,"Brasília, Setor Habitacional Vereda Grande (Taguatinga) - DDD 61","Hoje, 21:22",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vendo-kombi-1989-1028217506,2022-05-04,,df,1989
1001436148,HYUNDAI TUCSON 2.0 GLS FLEX 4P AUT 2015,117.025 km  |  Câmbio: Automático  |  Flex  |  ,R$ 58.990,"Brasília, Zona Industrial (Guará) - DDD 61","Hoje, 21:22",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hyundai-tucson-2-0-gls-flex-4p-aut-2015-1001436148,2022-05-04,,df,2015
1026699034,HONDA CIVIC 2.0 16V FLEXONE EXL 4P CVT 2019,37.203 km  |  Câmbio: Automático  |  Flex  |  ,R$ 127.990,"Brasília, Zona Industrial (Guará) - DDD 61","Hoje, 21:22",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-2-0-16v-flexone-exl-4p-cvt-2019-1026699034,2022-05-04,,df,2019
989942807,"Pajero Sport HPE 2.5 4X4 Manual Turbo Diesel 2008 -  À vista, troca e Financia ",258.000 km  |  Câmbio: Manual  |  Diesel  |  ,R$ 62.900,"Brasília, Zona Industrial (Guará) - DDD 61","Hoje, 21:22",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/pajero-sport-hpe-2-5-4x4-manual-turbo-diesel-2008-vista-troca-e-financia-989942807,2022-05-04,,df,2008
995737442,Toyota - Corolla GLi upper,137.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 83.900,"Brasília, Setor Leste (Gama) - DDD 61","Hoje, 21:21",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-gli-upper-995737442,2022-05-04,,df,2016
1028216511,Carro ,140.000 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 210.000,"Brasília, Estância Planaltina (Planaltina) - DDD 61","Hoje, 21:21",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/carro-1028216511,2022-05-04,,df,2018
1028216449,GOLF 1.6 Tech COMPLETO Mais Novo do DF IMPECÁVEL *Analiso trocas*,99.563 km  |  Câmbio: Manual  |  Flex  |  ,R$ 44.990,"Brasília, Sobradinho - DDD 61","Hoje, 21:20",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/golf-1-6-tech-completo-mais-novo-do-df-impecavel-analiso-trocas-1028216449,2022-05-04,,df,2009
1028216040,Gol quadrado ,84.000 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 15.000,"Brasília, Recanto das Emas - DDD 61","Hoje, 21:20",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-quadrado-1028216040,2022-05-04,,df,1994
1028215982,HB20S 1.6,82.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 52.900,"Valparaíso de Goiás, Jardim Céu Azul - DDD 61","Hoje, 21:20",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hb20s-1-6-1028215982,2022-05-04,,df,2014
1028215986,Citroën C4 Cactus 1.6 Feel (Aut) (Flex),0 km  |  Câmbio: Manual  |  Flex  |  ,R$ 109.990,"Brasília, Areal (Águas Claras) - DDD 61","Hoje, 21:20",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/citroen-c4-cactus-1-6-feel-aut-flex-1028215986,2022-05-04,,df,
